,Inline,,,,,Display,,,,
page id,CL,WP,NP,SGT,NGT,CL,WP,NP,SGT,NGT
2007-24,18,0,0,0,0,6,0,0,0,0
2111-13,34,0,0,0,0,3,0,0,0,0
4066-41,22,2,0,1,0,4,0,0,0,0
6120-11,11,0,0,0,0,4,0,0,0,0
6178-28,22,2,2,0,0,4,0,0,0,0
7181-9,15,0,0,0,0,2,0,0,0,0
8071-9,19,14,6,10,5,2,2,0,0,0
8075-9,7,0,0,0,0,7,0,0,0,0
8239-29,16,0,3,0,1,4,0,0,0,0
9153-4,21,0,0,0,0,6,0,0,0,0
10293-7,46,0,3,0,0,4,0,0,0,0
10293-46,19,1,0,0,0,5,0,0,0,0
11032-44,9,1,0,0,0,5,0,0,0,0
11155-0,3,0,0,0,0,0,0,0,0,0
12032-12,24,0,0,0,0,3,0,0,0,0
12143-20,15,0,0,0,0,1,0,0,0,0
201066-6,11,0,0,0,0,4,0,0,0,0
201168-7,24,3,1,0,0,0,0,0,0,0
202008-8,41,1,3,0,0,7,0,0,0,0
202078-13,1,1,0,0,0,3,0,0,0,0
202113-11,6,0,0,0,0,0,0,0,0,0
203139-11,4,0,0,0,0,6,0,0,0,0
204094-2,36,2,2,0,0,2,0,0,0,0
205054-10,1,1,0,0,0,5,6,2,0,0
205113-6,39,3,5,0,0,2,0,0,0,0
205161-8,14,0,0,0,0,2,0,0,0,0
205190-12,9,1,0,0,0,5,0,0,0,0
205288-13,14,0,1,0,0,4,1,0,0,0
206148-5,15,0,0,0,0,2,0,0,0,0
207186-7,11,0,0,0,0,7,0,0,0,0
207249-48,6,0,1,0,0,4,0,0,0,0
208016-22,8,0,0,0,0,5,0,0,0,0
208016-23,5,1,0,0,0,5,0,0,0,0
208053-2,18,0,2,0,2,4,0,0,0,0
209122-18,27,0,1,0,0,2,0,0,0,0
209235-7,17,0,2,0,0,5,0,0,0,0
210005-3,22,0,0,0,0,6,0,0,0,0
210398-30,7,0,0,0,0,8,0,0,0,0
212149-21,37,1,2,0,1,3,0,0,0,0
212156-4,24,0,1,0,0,2,0,0,0,0
212163-6,14,0,0,0,0,8,0,0,0,0
212314-55,19,5,0,5,0,0,0,0,0,0
212564-8,24,1,2,0,0,5,0,0,0,0
301106-10,13,0,0,0,0,2,0,0,0,0
301193-3,23,0,1,0,0,4,0,0,0,0
303058-7,16,4,1,0,0,4,0,0,0,0
304150-25,2,2,0,0,0,4,0,0,0,0
305024-13,15,1,1,0,0,6,0,0,0,0
305227-48,10,3,0,2,0,0,0,0,0,0
306045-9,23,1,6,0,2,5,0,0,0,0
Total,857,51,46,18,11,191,9,2,0,0
