,Inline,,,,,Display,,,,
page id,CL,WP,NP,SGT,NGT,CL,WP,NP,SGT,NGT
5222-5,25,1,2,0,0,5,0,0,0,0
6023-13,23,1,0,1,0,1,0,0,0,0
11145-1,5,1,0,0,0,0,0,0,0,0
11145-5,3,0,0,0,0,5,5,2,4,2
11145-16,13,0,0,0,0,9,0,0,0,0
12005-3,25,0,0,0,0,4,0,0,0,0
12196-11,16,1,0,0,0,3,0,0,0,0
12269-3,18,0,0,0,0,4,2,1,2,1
12269-11,9,0,0,0,0,8,0,0,0,0
107101-6,7,0,0,0,0,8,7,2,6,2
107101-8,8,0,0,0,0,5,4,2,4,2
108094-24,7,0,0,0,0,0,0,0,0,0
109178-4,17,0,0,0,0,7,0,0,0,0
109178-6,17,0,2,0,0,5,2,1,2,1
109178-8,14,0,1,0,0,8,0,0,0,0
110097-9,4,0,0,0,0,4,0,0,0,0
110097-14,7,0,0,0,0,0,1,3,1,3
111093-9,2,0,0,0,0,0,0,0,0,0
111093-10,0,0,0,0,0,0,0,0,0,0
112211-3,26,0,0,0,0,2,0,0,0,0
112211-11,33,0,0,0,0,3,5,2,5,2
201049-5,7,1,2,0,0,3,0,1,0,0
202095-3,12,0,0,0,0,1,0,0,0,0
202095-4,15,0,1,0,0,6,0,0,0,0
202136-3,15,0,1,0,1,7,0,1,0,0
203054-3,17,0,2,0,2,4,3,1,3,1
203054-14,20,1,1,0,0,6,0,0,0,0
203064-3,6,2,0,2,0,0,0,0,0,0
203064-10,23,1,0,0,0,4,2,1,2,1
203064-19,4,0,0,0,0,10,3,1,3,1
203078-7,10,2,2,2,2,3,0,0,0,0
205216-4,16,0,0,0,0,2,3,1,3,1
206149-3,11,0,0,0,0,0,0,0,0,0
207074-17,23,0,0,0,0,4,0,0,0,0
207074-20,32,0,0,0,0,5,0,0,0,0
207074-27,17,0,0,0,0,4,0,0,0,0
207248-7,19,0,0,0,0,5,0,0,0,0
208180-2,0,0,0,0,0,2,0,0,0,0
208186-7,15,1,8,0,5,1,0,0,0,0
208186-17,0,0,0,0,0,0,0,0,0,0
208218-6,5,1,0,0,0,0,0,0,0,0
209061-25,0,0,0,0,0,3,0,0,0,0
20918-13,0,1,0,0,0,0,0,0,0,0
211049-2,16,1,0,1,0,1,0,0,0,0
212100-11,36,0,0,0,0,2,0,0,0,0
212287-2,20,0,11,0,10,2,0,0,0,0
212287-9,5,0,1,0,1,8,0,0,0,0
301004-8,3,0,0,0,0,6,1,2,1,2
302193-8,42,0,0,0,0,4,0,0,0,0
304006-9,0,0,0,0,0,0,0,0,0,0
,668,15,34,6,21,174,38,21,36,19
