,Inline,,,,,Display,,,,
page id,CL,WP,NP,SGT,NGT,CL,WP,NP,SGT,NGT
101112007-11,9,8,1,5,1,3,0,0,0,0
101112016-8,33,14,5,10,1,0,1,5,1,3
101112016-12,36,2,5,1,0,1,1,4,1,4
101112084-22,1,0,4,0,0,5,0,0,0,0
101112102-2,5,21,2,17,1,1,0,0,0,0
101112110-3,37,4,0,3,0,1,0,2,0,0
101112111-5,9,3,3,1,2,0,0,0,0,0
101112128-3,2,1,0,1,0,2,0,0,0,0
101112134-59,5,3,2,3,0,2,0,0,0,0
101112137-10,13,11,6,11,0,0,0,4,0,4
101114574-2,6,23,0,22,0,4,0,0,0,0
101162189-4,21,12,0,12,0,0,1,0,0,0
101162197-2,17,10,1,9,1,4,0,0,0,0
101162203-5,30,34,11,31,6,1,2,2,0,0
101162246-4,50,2,9,2,8,2,0,0,0,0
101162246-18,33,1,2,1,0,2,0,0,0,0
101162258-9,31,6,7,2,1,2,0,0,0,0
101162264-31,3,3,3,3,1,1,0,0,0,0
101162281-9,65,7,4,1,2,2,0,0,0,0
101162296-4,25,3,2,3,1,7,0,0,0,0
101162300-6,53,5,16,0,0,3,2,2,0,0
101162348-19,15,23,7,23,4,7,0,0,0,0
101162363-19,9,0,0,0,0,3,0,0,0,0
101162367-17,9,5,0,5,0,3,0,0,0,0
101162371-5,8,11,5,11,5,3,0,0,0,0
101172117-7,26,15,2,12,1,3,0,0,0,0
101172148-7,20,9,3,9,3,4,0,0,0,0
101172186-15,5,8,0,8,0,2,0,8,0,8
101182119-9,7,5,3,2,0,0,0,0,0,0
1011202100-3,4,1,0,1,0,1,0,0,0,0
1011226625-37,18,7,5,4,2,1,0,0,0,0
1011303568-7,0,0,13,0,0,0,0,5,0,4
1011303568-9,0,0,19,0,0,0,0,4,0,0
1011781138-3,14,14,2,14,0,3,0,0,0,0
10111016521-31,7,0,0,0,0,1,0,0,0,0
10111069602-20,13,10,6,10,5,7,0,0,0,0
10111445167-9,36,25,2,23,0,2,0,0,0,0
10111476776-4,29,26,3,21,0,4,0,1,0,0
10111483166-10,16,7,2,5,2,5,0,0,0,0
10111501297-4,26,5,0,5,0,7,0,0,0,0
10111534083-28,2,0,0,0,0,1,0,0,0,0
10111619629-5,0,13,0,13,0,4,0,0,0,0
10111619629-10,0,22,0,22,0,6,0,0,0,0
10111864283-8,7,6,0,1,0,2,0,0,0,0
10111921813-3,13,19,4,19,0,2,0,0,0,0
10111921813-4,19,9,2,6,0,0,0,1,0,1
10111921818-2,4,1,5,1,0,2,0,0,0,0
10111931812-41,10,0,2,0,0,1,0,0,0,0
10111931813-9,24,5,0,5,0,3,0,0,0,0
10111931818-2,1,4,2,0,0,0,0,1,0,0
Total,826,423,170,358,47,120,7,39,2,24
