,Inline,,,,Display,,,,
page_id,CL,WL,WD,ML,CL,WL,WD,ML,PWE
204035-13,21,1,0,0,5,0,0,1,1
1113-0,0,0,0,0,0,0,0,0,0
1222-10,38,0,0,0,2,0,0,0,0
2116-126,23,0,1,21,7,0,0,0,1
3046-8,40,0,0,0,6,0,0,0,0
3232-16,18,1,0,0,5,0,0,0,1
3241-10,21,0,0,0,4,0,0,0,0
4092-0,8,0,0,0,0,0,0,0,0
4098-51,33,0,1,0,1,0,0,0,1
5057-97,18,0,0,1,4,0,0,0,1
5144-6,51,0,0,0,3,0,0,0,0
5187-38,23,0,1,0,7,0,0,0,1
6179-22,18,0,0,0,6,0,0,0,0
6196-50,20,0,1,0,7,0,0,0,1
9112-15,23,0,0,0,0,0,0,0,0
9235-8,19,0,0,0,3,0,0,0,0
9238-4,35,0,0,0,6,0,0,0,0
10148-8,38,0,0,0,4,0,0,0,0
10232-13,21,0,0,0,7,0,0,0,0
11002-30,13,0,0,0,4,0,0,0,0
11078-1,2,0,0,0,0,0,0,0,0
11372-22,7,0,0,0,0,0,0,0,0
112247-22,2,0,0,0,2,0,0,0,0
12269-12,7,0,0,0,7,0,1,0,1
201141-11,22,0,0,0,7,0,0,0,0
201153-6,17,0,0,0,6,0,0,0,0
201154-9,11,0,0,0,6,0,0,0,0
201198-29,19,0,1,2,4,0,0,0,1
202126-8,18,0,0,0,5,0,0,0,0
202145-11,25,0,0,0,5,0,0,0,0
202166-12,26,0,0,0,6,0,0,0,0
203024-13,27,0,0,0,1,0,0,0,0
203120-1,15,0,0,0,3,0,0,0,0
204045-18,35,0,0,0,3,0,0,0,0
204185-12,20,0,0,0,2,0,0,0,0
204203-40,1,0,0,0,0,0,0,0,0
204247-5,8,0,0,0,0,0,0,0,0
205005-13,5,0,0,0,1,0,0,0,0
205086-7,13,0,0,0,8,0,0,0,0
205281-33,4,0,0,0,4,0,0,0,0
205300-0,7,0,0,0,0,0,0,0,0
206046-3,20,0,0,0,3,0,0,0,0
206078-89,7,0,0,0,5,0,0,0,0
206249-29,10,0,0,0,7,0,0,0,0
206257-6,18,0,0,0,3,0,0,0,0
207011-7,3,0,0,0,0,0,0,0,0
207042-26,15,3,0,0,7,1,0,0,1
207076-6,13,0,0,0,3,0,0,0,0
207107-1,3,0,0,0,0,0,0,0,0
207110-17,13,0,0,0,4,0,0,0,0
207168-22,8,0,0,0,0,0,0,0,0
207274-1,14,0,0,0,4,0,0,0,0
209020-3,29,0,0,0,3,0,0,0,0
209098-2,16,0,0,0,3,0,0,0,0
209104-2,22,0,0,0,0,0,0,0,0
209122-18,28,0,0,0,2,0,0,0,0
209137-31,0,0,0,0,1,0,0,0,0
209144-4,22,0,0,0,5,0,1,0,1
209161-19,18,0,0,0,5,0,0,0,0
209239-7,7,0,0,0,4,0,0,0,0
209321-6,7,0,0,0,6,0,0,0,0
210178-39,19,0,0,0,2,0,0,0,0
210188-3,6,0,0,0,6,0,0,0,0
210202-46,4,0,0,0,0,0,0,0,0
210245-4,24,0,0,0,5,0,0,0,0
210270-12,2,0,0,0,3,0,0,0,0
210283-2,3,0,0,0,6,0,0,0,0
211068-17,21,0,1,0,0,0,0,0,1
211080-21,29,0,0,0,0,0,0,0,0
211134-12,13,0,0,0,3,0,0,0,0
211147-65,28,0,0,0,2,0,0,0,0
211242-38,11,0,0,0,5,0,0,0,0
212005-6,20,0,0,0,0,0,0,0,0
212035-31,8,0,0,0,5,0,0,0,0
212043-7,9,0,0,0,2,0,0,0,0
212081-39,11,0,0,0,7,0,0,0,0
212096-1,6,0,0,0,0,0,0,0,0
212238-0,1,0,0,0,0,0,0,0,0
212239-21,28,0,0,0,5,0,0,0,0
212275-15,6,0,0,0,5,0,0,0,0
212275-30,4,0,0,0,9,0,0,0,0
212275-45,9,0,0,0,10,0,0,0,0
212343-6,11,0,0,0,6,0,0,0,0
301125-24,8,0,0,0,0,0,0,0,0
302059-2,17,0,0,0,6,0,1,0,1
302102-0,3,2,0,0,0,0,0,0,1
303115-28,12,0,0,0,3,0,0,0,0
303119-20,7,0,0,0,3,0,0,0,0
303153-7,5,0,0,0,5,0,0,0,0
303221-5,11,0,0,0,4,0,0,0,0
303269-1,2,0,0,0,0,0,0,0,0
304028-6,20,0,0,0,4,0,0,0,0
304195-17,19,0,0,0,4,0,0,0,0
305022-6,10,0,0,0,4,0,1,1,1
305057-3,29,0,0,0,4,0,0,0,0
305117-0,0,0,0,0,0,0,0,0,0
305135-25,4,0,0,0,8,0,0,0,0
305189-3,41,0,0,0,5,0,0,0,0
305227-37,14,0,0,0,14,0,0,0,0
306020-15,9,0,0,0,4,0,2,0,1
Total,1529,7,6,24,365,1,6,2,16
