,Inline,,,,Display,,,,
page_id,CL,WL,WD,ML,CL,WL,WD,ML,PWE
1133-14,19,0,0,0,4,0,0,0,0
1213-7,15,0,3,0,5,0,0,0,1
2194-12,10,0,0,0,2,0,2,2,1
3079-8,4,0,0,0,4,0,1,1,1
3126-20,10,0,0,0,7,2,2,0,1
3221-8,3,3,0,0,1,0,0,0,1
5070-15,8,0,0,0,1,0,0,0,0
5174-4,27,0,0,0,4,0,0,0,0
5260-3,17,0,0,0,0,0,1,2,1
6023-15,13,0,0,0,1,0,0,0,0
6108-18,39,0,0,0,4,0,0,0,0
7117-9,4,0,0,0,0,0,0,0,0
7180-2,20,0,0,0,5,0,0,0,0
9070-5,16,0,0,0,3,0,0,0,0
10052-4,24,0,0,0,4,0,0,0,0
10218-22,21,0,0,0,5,0,0,0,0
11135-3,43,0,0,0,4,1,1,0,1
11285-4,3,2,0,0,3,0,0,0,1
12040-3,32,0,0,0,3,0,0,0,0
12090-1,3,0,0,0,0,0,0,0,0
12145-41,68,0,0,0,4,0,0,0,0
101033-8,24,0,0,0,2,0,0,0,0
101053-2,31,0,2,0,3,0,0,0,1
101226-1,1,0,0,8,0,0,0,0,1
102116-1,2,0,0,0,0,0,0,0,0
102158-1,0,0,0,0,0,0,0,0,0
103165-5,10,2,2,0,2,0,0,0,1
103181-4,25,0,0,0,6,0,0,0,0
106014-2,6,0,1,0,0,0,0,0,1
106055-5,18,0,0,2,7,0,0,0,1
106176-6,25,0,3,0,5,0,0,0,1
106213-5,9,0,0,0,8,0,0,0,0
106277-6,19,0,0,0,1,0,0,0,0
107068-10,36,0,0,0,5,0,0,0,0
107101-9,12,0,0,0,6,0,2,2,1
107120-22,8,0,0,0,8,0,0,0,0
107132-7,6,0,0,0,0,0,3,5,1
108107-6,13,0,0,0,2,0,1,4,1
109012-45,0,0,0,0,0,0,0,0,0
109075-18,2,0,0,0,0,0,0,0,0
109097-5,17,0,0,6,0,0,0,0,1
110046-10,28,0,0,0,3,0,0,0,0
110060-6,15,1,0,0,7,0,0,0,1
110097-11,9,0,0,0,5,0,0,0,0
110101-4,16,1,0,0,2,0,2,2,1
110101-8,23,0,0,0,6,0,0,0,0
110125-9,4,0,0,0,9,0,0,0,0
110125-15,6,0,0,0,10,0,0,0,0
110192-2,16,0,0,2,1,0,0,0,1
110251-11,9,2,0,0,2,3,3,0,1
111110-3,12,0,0,0,10,0,0,0,0
111110-10,2,0,0,0,0,0,0,0,0
111132-2,28,0,0,3,8,0,0,0,1
111196-9,2,0,0,0,8,0,0,0,0
111286-11,18,0,0,0,1,0,0,0,0
201003-6,0,12,0,0,0,0,0,0,1
201005-8,9,3,0,0,4,0,0,0,1
201010-18,80,3,0,0,2,0,0,0,1
203062-9,23,0,0,0,7,0,0,0,0
203064-11,11,0,0,2,1,0,0,0,1
203064-17,11,0,0,0,1,0,3,5,1
203090-2,16,0,0,1,9,0,0,0,1
203195-8,12,0,0,0,6,0,0,0,0
204059-6,12,0,0,0,0,0,0,0,0
204071-1,0,0,0,0,0,0,0,0,0
205023-12,4,2,0,0,0,0,0,0,1
205115-5,10,0,0,0,4,0,0,0,0
205123-42,0,0,0,0,0,0,0,0,0
206097-9,17,0,0,0,7,0,0,0,0
206235-4,23,0,0,0,6,0,0,0,0
207074-5,17,1,0,0,3,0,0,0,1
207192-19,15,0,0,1,2,0,0,0,1
207276-57,13,0,0,2,3,0,0,0,1
207276-95,1,0,0,0,0,0,0,0,0
208122-7,33,0,0,0,4,0,0,0,0
209229-9,25,0,1,4,2,0,0,0,1
209235-2,14,0,0,0,0,0,0,0,0
210128-6,26,0,0,4,0,0,1,1,1
110188-2,21,0,0,0,1,0,0,0,0
210288-8,9,0,0,0,6,0,0,0,0
211013-7,7,0,0,0,2,0,0,0,0
211037-8,15,0,0,0,1,0,0,0,0
211148-8,3,0,0,0,0,0,0,0,0
211192-3,2,0,0,0,7,0,0,0,0
211274-5,25,0,0,0,3,0,0,0,0
211287-8,29,0,0,1,4,0,2,3,1
212100-7,45,1,1,0,2,0,0,0,1
212100-21,0,0,0,0,0,0,0,0,0
212156-7,23,0,0,0,8,0,0,0,0
212156-17,0,0,0,0,0,0,0,0,0
301004-11,16,0,0,0,4,1,1,0,1
301156-4,19,0,0,0,0,0,0,0,0
301245-4,9,0,0,0,6,0,0,0,0
302022-15,14,0,0,0,5,0,0,0,0
303123-7,1,0,0,0,6,0,0,0,0
303157-8,6,0,0,0,4,0,0,0,0
304054-4,18,0,0,0,2,0,4,6,1
304075-12,32,0,0,0,2,0,0,0,0
304091-22,0,0,0,0,0,4,1,0,1
304253-6,16,0,3,0,1,0,0,0,1
Total,1533,33,16,36,316,11,30,33,41
