,Inline,,,,Display,,,,
page_id,CL,WL,WD,ML,CL,WL,WD,ML,PWE
101112004-5,0,0,0,0,1,0,0,0,0
101112005-4,20,0,2,0,4,0,0,0,1
101112005-12,16,0,4,2,5,0,0,0,1
101112022-6,22,0,2,0,2,0,0,0,1
101112076-38,7,0,0,4,1,0,0,0,1
101112081-3,8,0,1,5,3,0,0,1,1
101112085-4,42,0,0,2,2,0,0,0,1
101112089-4,58,0,0,4,3,4,3,0,1
101112110-3,36,0,0,8,3,0,0,0,1
101112111-5,12,0,0,0,0,0,0,3,1
101112130-4,21,0,1,4,8,0,0,0,1
101112133-4,36,0,4,14,5,0,0,0,1
101112139-22,8,0,0,5,2,1,1,0,1
101112139-102,3,0,0,3,1,0,0,0,1
101112147-9,31,0,0,14,4,0,0,0,1
101112151-3,34,0,0,12,5,0,0,1,1
101114574-17,13,0,0,5,8,0,0,0,1
101162186-9,7,0,0,8,1,0,0,0,1
101162189-9,31,0,0,14,4,0,0,0,1
101162190-4,20,1,0,1,2,0,0,1,1
101162191-23,7,0,0,1,1,0,0,0,1
101162197-2,17,0,1,10,4,0,0,0,1
101162202-3,7,0,0,7,1,0,0,0,1
101162203-5,45,0,0,29,1,0,2,0,1
101162211-2,41,0,0,3,10,0,0,0,1
101162231-4,10,0,2,4,2,0,1,0,1
101162231-7,9,0,1,4,1,0,0,0,1
101162231-9,15,0,1,0,3,0,3,0,1
101162245-14,0,0,0,2,2,0,0,0,1
101162550-22,5,0,0,1,2,0,0,0,1
101162250-52,13,0,0,1,1,0,0,0,1
101162258-5,26,0,0,2,1,0,0,0,1
101162258-9,33,0,3,1,2,0,0,0,1
101162258-14,46,0,0,0,1,0,0,0,0
101162264-30,16,0,1,0,5,0,1,0,1
101162264-31,5,1,0,1,1,0,0,0,1
101162264-49,12,0,0,0,1,0,0,0,0
101162264-51,19,0,0,0,2,1,1,0,1
101162264-64,6,0,0,0,4,0,0,0,0
101162280-14,11,0,0,0,2,0,0,0,0
101162281-7,29,0,0,0,5,0,0,0,0
101162286-5,8,0,0,0,1,0,0,0,0
101162296-3,41,0,0,0,7,0,0,0,0
101162308-4,19,0,0,2,3,2,1,0,1
1011623133-2,4,0,0,0,0,0,0,0,0
101162317-2,2,0,0,0,2,0,0,0,0
101162319-23,23,0,4,3,4,2,2,0,1
101162319-24,5,0,1,1,3,4,1,0,1
101162330-13,8,0,0,4,3,0,0,0,1
101162335-106,1,0,0,4,2,2,2,0,1
101162341-21,18,0,0,0,10,0,0,0,0
101162342-6,7,0,1,0,12,0,0,0,1
101162349-6,10,0,0,2,0,1,1,0,1
101162363-14,7,1,0,2,2,0,0,1,1
101162382-5,38,0,1,2,2,0,0,0,1
101172125-6,1,0,0,1,0,0,0,0,1
101172148-13,22,0,0,3,4,0,1,0,1
101172161-2,16,0,0,20,10,0,0,0,1
101172165-2,23,0,0,4,11,0,1,0,1
101172186-13,13,0,0,2,0,5,2,0,1
101172186-15,5,0,0,7,2,7,1,0,1
101172193-5,20,0,0,8,3,5,1,0,1
101182179-6,0,0,0,0,0,1,1,0,1
1011113137-3,24,0,1,8,7,0,0,0,1
1011202100-3,4,0,0,2,1,0,0,0,1
1011226625-37,21,2,1,4,1,0,0,0,1
1011586850-3,74,0,6,7,3,0,0,0,1
1011602672-31,22,0,1,15,3,0,0,0,1
1011602672-32,26,0,1,2,4,1,1,0,1
1011755300-14,32,0,0,14,0,0,1,0,1
1011781138-3,16,0,1,12,3,0,0,0,1
1011792274-3,17,0,0,2,4,2,2,0,1
1011856686-6,1,0,0,5,3,0,0,0,1
1011856686-7,20,0,0,5,4,0,0,0,1
10111016521-38,6,0,0,2,5,1,1,0,1
10111024697-50,13,0,0,16,3,0,0,0,1
10111069602-20,17,0,2,4,7,0,0,0,1
10111107699-17,19,0,1,1,2,0,0,0,1
10111384863-22,41,0,7,11,2,0,1,0,1
10111403847-6,2,0,0,3,8,3,0,0,1
10111403847-8,1,1,0,4,8,0,0,0,1
10111403847-9,0,0,0,4,8,3,0,0,1
10111416335-15,19,0,6,8,4,0,0,0,1
10111431869-7,32,0,0,5,2,2,1,0,1
10111438311-6,26,0,2,10,4,0,0,0,1
10111438311-15,11,0,1,2,5,1,1,0,1
10111476776-3,16,0,3,9,4,0,0,0,1
1011149517-5,17,0,1,8,2,0,0,0,1
10111501297-8,18,0,0,4,6,0,0,0,1
10111545547-7,13,0,0,3,4,0,2,1,1
10111547694-5,15,1,0,7,3,0,0,0,1
10111547694-15,3,2,0,0,1,0,0,0,1
10111655288-11,6,0,0,2,4,0,0,0,1
10111921804-7,33,0,0,11,0,0,0,0,1
10111921804-11,21,0,0,17,2,0,0,0,1
10111921804-16,33,0,0,14,2,0,0,0,1
10111921813-4,20,0,1,5,1,0,0,0,1
10111931806-2,23,0,1,5,18,1,1,0,1
10111931808-3,46,0,0,8,18,0,0,0,1
10111931812-41,12,0,0,2,1,0,0,0,1
Total,1808,9,66,477,354,49,37,8,89
