,Inline,,,,,Display,,,,
page_id,detected,correct,WD,WL,ML,detected,correct,WD,WL,ML
2202113-1,29,22,5,2,2,0,0,0,0,0
2108119-23,18,18,0,0,3,6,4,2,0,0
2108124-25,19,16,1,2,4,3,2,1,0,0
2108138-7,15,14,0,1,0,0,0,0,0,0
2108139-46,41,36,5,0,1,6,6,0,0,0
2109013-10,19,0,0,19,0,0,0,0,0,0
2109015-11,3,3,0,0,4,0,0,0,0,0
2109046-2,50,37,8,5,8,5,3,2,0,1
2109075-19,45,42,3,0,0,2,2,0,0,0
2109076-1,0,0,0,0,0,0,0,0,0,0
2109083-20,16,16,0,0,1,6,4,2,0,0
2109102-17,32,25,6,1,5,0,0,0,0,0
2109107-5,8,8,0,0,1,0,0,0,0,0
2109109-3,46,35,11,0,3,1,1,0,0,0
2109114-45,1,1,0,0,10,3,3,0,0,0
2109121-25,51,43,3,5,9,0,0,0,0,0
2109128-41,0,0,0,0,0,0,0,0,0,0
2109131-4,2,2,0,0,1,0,0,0,0,0
2109145-14,0,0,0,0,0,0,0,0,0,0
2110013-2,35,32,2,1,3,3,3,0,0,0
2110020-9,13,7,5,0,23,0,0,0,0,0
2110031-6,0,0,0,0,0,0,0,0,0,0
2110037-32,3,3,0,0,0,0,0,0,0,0
2110042-0,0,0,0,0,0,0,0,0,0,0
2110055-31,18,11,0,7,0,4,3,1,0,0
2110057-21,49,45,3,1,2,0,0,0,0,0
2110086-6,32,28,3,1,3,2,2,0,0,0
2110100-9,19,16,3,0,1,6,5,1,0,1
2110140-27,46,45,1,0,0,2,1,1,0,0
2110156-5,0,0,0,0,0,0,0,0,0,0
2110156-75,26,26,0,0,0,3,2,1,0,0
2110156-163,19,19,0,0,0,2,2,0,0,0
2111015-7,20,20,0,0,0,3,3,0,0,0
2111037-2,1,0,0,1,0,0,0,0,0,0
2111122-1,27,16,8,3,9,0,0,0,0,1
2112122-3,16,14,2,0,1,6,5,1,0,0
2112131-15,27,25,0,2,1,7,6,1,0,0
2112134-83,19,15,3,1,5,6,6,0,0,0
2112143-4,5,4,0,0,0,1,1,0,0,0
2201004-18,36,30,2,4,3,1,1,0,0,0
2201004-49,99,91,7,1,5,0,0,0,0,0
2201041-7,4,4,0,0,20,2,2,0,0,0
2201041-9,0,0,0,0,22,3,3,0,0,0
2201053-3,1,0,0,1,0,1,0,0,1,0
2201072-4,25,22,3,0,10,5,5,0,0,0
2201109-43,16,15,1,0,11,3,2,1,0,0
2201115-2,16,14,2,0,2,0,0,0,0,0
2201123-37,17,17,0,0,0,2,2,0,0,0
2201126-5,33,26,4,3,1,2,2,0,0,1
2202058-1,18,14,4,0,0,2,2,0,0,0
Total,1035,877,95,61,174,98,83,14,1,4
