,Inline,,,,,Display,,,,
page_id,detected,correct,WD,WL,ML,detected,correct,WD,WL,ML
2202113-1,24,19,3,2,7,0,0,0,0,0
2108119-23,18,18,0,0,3,7,4,2,1,0
2108124-25,19,11,2,6,8,2,1,1,0,1
2108138-7,15,14,0,1,0,0,0,0,0,0
2108139-46,38,25,13,0,4,6,6,0,0,0
2109013-10,0,0,0,0,0,0,0,0,0,0
2109015-11,17,7,0,10,0,0,0,0,0,0
2109046-2,55,30,17,8,6,5,2,3,0,1
2109075-19,43,32,11,0,2,2,2,0,0,0
2109076-1,0,0,0,0,0,0,0,0,0,0
2109083-20,13,12,1,0,4,6,4,2,0,0
2109102-17,35,23,8,4,5,0,0,0,0,0
2109107-5,8,7,1,0,1,0,0,0,0,0
2109109-3,46,29,13,4,5,1,1,0,0,0
2109114-45,11,10,1,0,0,3,3,0,0,0
2109121-25,45,31,12,2,14,0,0,0,0,0
2109128-41,0,0,0,0,0,0,0,0,0,0
2109131-4,2,2,0,0,1,0,0,0,0,0
2109145-14,0,0,0,0,0,0,0,0,0,0
2110013-2,36,25,6,5,6,4,3,0,1,0
2110020-9,29,2,8,19,25,0,0,0,0,0
2110031-6,0,0,0,0,0,0,0,0,0,0
2110037-32,4,3,0,1,0,0,0,0,0,0
2110042-0,0,0,0,0,0,0,0,0,0,0
2110055-31,18,11,0,7,0,4,3,1,0,0
2110057-21,49,40,9,0,1,0,0,0,0,0
2110086-6,33,27,6,0,1,2,2,0,0,0
2110100-9,19,15,3,1,2,6,6,0,0,1
2110140-27,44,42,2,0,2,2,1,1,0,0
2110156-5,0,0,0,0,0,0,0,0,0,0
2110156-75,26,22,4,0,0,3,3,0,0,0
2110156-163,22,15,3,4,1,2,1,1,0,0
2111015-7,20,18,2,0,0,3,0,3,0,0
2111037-2,2,0,0,2,0,0,0,0,0,0
2111122-1,21,11,6,4,16,1,1,0,0,0
2112122-3,15,13,2,0,2,6,4,2,0,0
2112131-15,27,26,0,1,0,6,6,0,0,1
2112134-83,14,9,5,0,9,6,4,2,0,0
2112143-4,13,4,0,9,0,1,1,0,0,0
2201004-18,33,27,2,4,6,0,0,0,0,1
2201004-49,96,75,21,0,7,0,0,0,0,0
2201041-7,21,17,4,0,3,1,0,1,0,1
2201041-9,23,19,3,1,0,3,3,0,0,0
2201053-3,53,0,0,53,0,0,0,0,0,0
2201072-4,30,14,15,1,6,4,4,0,0,1
2201109-43,25,20,1,4,6,3,3,0,0,0
2201115-2,15,11,4,0,3,0,0,0,0,0
2201123-37,19,16,1,2,0,2,2,0,0,0
2201126-5,33,25,4,4,2,3,2,1,0,0
2202058-1,20,8,9,5,1,2,2,0,0,0
Total,1149,785,202,164,159,96,74,20,2,7
